"","state_name","state_postal","KWH","DOLLAREL","HDD65","CDD65","UATYP10","TYPEHUQ","MONEYPY","ENERGYASST20","BA_climate","DIVISION","YEARMADERANGE","KOWNRENT","COOLCNTL","HEATCNTL","LGTINLED","SMARTMETER","TYPETHERM","ATHOME"
"1863","Colorado","CO",1247.07,122.42,5591,963,"U",5,6,-2,"Cold","Mountain North",4,2,-2,3,0,-4,2,5
"1864","Pennsylvania","PA",20661.46,2460.98,5426,934,"R",2,15,-2,"Cold","Middle Atlantic",3,1,1,1,4,0,1,2
"1865","California","CA",2247.07,245,748,2014,"U",3,12,-2,"Hot-Dry","Pacific",3,1,-2,5,1,1,0,3
"1866","Texas","TX",8483.07,1029.57,1168,3276,"U",2,11,-2,"Hot-Humid","West South Central",7,1,1,1,0,0,2,5
"1867","South Carolina","SC",20632.76,2374,2279,1866,"U",2,12,-2,"Mixed-Humid","South Atlantic",3,1,1,4,2,1,2,3
"1868","California","CA",4750.06,976.67,2096,277,"U",2,14,-2,"Marine","Pacific",4,1,4,2,2,1,1,5
"1869","Georgia","GA",21858.31,2839.56,1597,2687,"U",2,16,-2,"Mixed-Humid","South Atlantic",5,1,-2,3,2,-4,3,2
"1870","Michigan","MI",12885.69,2321.19,5781,933,"U",2,14,-2,"Cold","East North Central",1,1,2,1,4,1,1,5
"1871","Maryland","MD",1916.51,379.58,4279,1127,"U",3,14,-2,"Mixed-Humid","South Atlantic",7,1,3,3,1,-4,3,5
"1872","Pennsylvania","PA",12326.95,1032.65,4741,1166,"U",4,7,-2,"Cold","Middle Atlantic",3,2,1,1,1,0,0,5
"1873","Arizona","AZ",19721.19,2524.2,1245,4547,"U",2,12,-2,"Hot-Dry","Mountain South",7,1,2,2,2,-4,2,1
"1874","Indiana","IN",10573.46,1387.65,3750,1591,"U",2,10,-2,"Mixed-Humid","East North Central",3,2,1,2,2,0,1,0
"1875","South Carolina","SC",11598.22,1633.7,1749,2297,"U",2,15,-2,"Hot-Humid","South Atlantic",7,1,4,1,2,1,2,3
"1876","Oregon","OR",6686.3,1000.03,4484,322,"U",5,15,-2,"Marine","Pacific",6,2,4,4,3,1,0,5
"1877","Delaware","DE",12252.49,793.36,4865,962,"U",2,7,-2,"Mixed-Humid","South Atlantic",4,1,2,2,4,0,2,5
"1878","Arizona","AZ",15866.58,1402.8,1094,4852,"U",2,13,-2,"Hot-Dry","Mountain South",5,1,1,-2,3,-4,1,5
"1879","California","CA",1132.19,260.59,1120,986,"U",4,13,-2,"Hot-Dry","Pacific",1,2,-2,4,1,0,1,5
"1880","Florida","FL",26879.48,3021.19,330,4399,"U",2,10,-2,"Hot-Humid","South Atlantic",2,1,2,2,4,0,1,5
"1881","Vermont","VT",2367.11,575.07,7257,589,"C",4,7,-2,"Cold","New England",7,2,-2,1,3,0,1,0
"1882","Michigan","MI",3784.64,718.43,5834,916,"U",2,10,-2,"Cold","East North Central",1,1,4,4,2,-4,2,4
"1883","West Virginia","WV",8728.52,1190.62,5068,740,"R",1,6,-2,"Cold","South Atlantic",9,1,1,1,0,-4,2,5
"1884","Tennessee","TN",16654.7,1840.15,3683,1280,"R",2,13,-2,"Mixed-Humid","East South Central",3,1,1,1,2,0,1,5
"1885","Illinois","IL",6952.93,984.43,6058,929,"U",2,14,-2,"Cold","East North Central",5,1,3,3,1,1,3,1
"1886","Nevada","NV",18778.77,2233.08,1791,4202,"U",2,13,-2,"Hot-Dry","Mountain South",4,1,2,2,2,0,1,5
"1887","South Dakota","SD",9497.85,1361.74,6921,1036,"R",2,16,-2,"Cold","West North Central",4,3,4,3,2,-4,3,5
"1888","Florida","FL",19101.75,1998.26,271,4354,"U",2,15,-2,"Hot-Humid","South Atlantic",8,1,1,1,3,-4,2,5
"1889","Nebraska","NE",8183.78,1022.73,6203,1145,"C",2,11,-2,"Cold","West North Central",1,1,1,2,0,-4,1,4
"1890","New York","NY",16767.81,3666.78,4678,1053,"U",2,16,-2,"Mixed-Humid","Middle Atlantic",3,1,1,1,1,0,2,2
"1891","North Carolina","NC",11588.45,1350.22,2039,2031,"C",2,12,-2,"Hot-Humid","South Atlantic",7,1,1,1,2,-4,1,5
"1892","Colorado","CO",3750.71,367.88,5222,1522,"U",1,12,-2,"Cold","Mountain North",7,1,3,3,3,-4,2,3
"1893","New York","NY",3016.17,843.35,4185,1354,"U",5,4,-2,"Mixed-Humid","Middle Atlantic",5,2,2,4,3,-4,0,5
"1894","Arizona","AZ",7195.28,1088.18,1415,3948,"U",2,5,-2,"Hot-Dry","Mountain South",5,1,2,2,4,0,2,5
"1895","Utah","UT",7457.27,904.2,5416,1116,"U",2,13,-2,"Cold","Mountain North",8,1,3,3,2,-4,3,5
"1896","Montana","MT",4105.96,526.39,6496,751,"U",4,1,-2,"Cold","Mountain North",4,2,1,1,1,-4,1,5
"1897","Texas","TX",26962.75,3075.66,1058,3381,"U",2,15,-2,"Hot-Humid","West South Central",5,1,2,1,1,-4,3,5
"1898","Connecticut","CT",8736.12,1925.53,4808,917,"U",2,7,-2,"Cold","New England",7,1,1,1,3,1,2,5
"1899","New Hampshire","NH",12555.44,2942.19,6069,823,"U",2,15,-2,"Cold","New England",2,1,4,1,3,-4,2,5
"1900","New York","NY",8245.45,572.36,4277,1231,"U",3,12,-2,"Mixed-Humid","Middle Atlantic",1,1,3,3,1,1,3,3
"1901","Idaho","ID",23989.89,3188.21,6747,578,"R",2,14,-2,"Cold","Mountain North",4,1,1,1,3,1,1,5
"1902","Missouri","MO",15772.71,1967.35,4643,1459,"U",2,6,-2,"Mixed-Humid","West North Central",1,2,4,4,0,-4,0,5
"1903","Texas","TX",15493.26,1545.84,2920,2258,"U",2,12,-2,"Hot-Dry","West South Central",7,1,2,2,1,1,1,0
"1904","California","CA",10622.98,1926.53,2266,583,"U",2,16,-2,"Marine","Pacific",1,1,3,1,4,0,2,5
"1905","South Carolina","SC",11936.23,1636.88,2703,1688,"R",2,15,-2,"Mixed-Humid","South Atlantic",4,1,1,1,2,-4,2,5
"1906","Alabama","AL",7757.32,1164.66,2109,2181,"U",2,9,-2,"Mixed-Humid","East South Central",2,1,2,2,1,-4,1,5
"1907","Texas","TX",12992.93,1518.85,2036,3255,"U",2,9,-2,"Hot-Dry","West South Central",3,1,4,4,4,-4,2,5
"1908","Idaho","ID",6376.56,645.57,5484,760,"U",2,13,-2,"Cold","Mountain North",7,1,3,3,2,1,3,5
"1909","Arkansas","AR",9929.81,1212.13,2966,1808,"U",4,14,-2,"Mixed-Humid","West South Central",8,2,2,2,0,0,2,5
"1910","Alaska","AK",7199.12,1500.81,10705,1,"U",2,16,-2,"Very-Cold","Pacific",4,1,4,1,2,1,1,5
"1911","Idaho","ID",4721.98,498.63,8381,315,"R",1,12,-2,"Cold","Mountain North",6,1,-2,2,2,0,1,5
"1912","Illinois","IL",10352.17,1381.12,6609,726,"C",2,14,-2,"Cold","East North Central",2,1,1,1,3,1,2,5
"1913","Arizona","AZ",11059,910.39,4164,1153,"U",2,12,-2,"Mixed-Dry","Mountain South",3,1,2,1,0,-4,3,5
"1914","Arkansas","AR",16459.76,2003.49,3085,1771,"U",2,16,-2,"Mixed-Humid","West South Central",7,1,2,2,3,1,2,1
"1915","Oregon","OR",9558.03,934.97,4506,12,"C",1,8,-2,"Marine","Pacific",6,1,-2,2,2,-4,1,0
"1916","Colorado","CO",12495.63,1437.14,6062,733,"U",2,16,-2,"Cold","Mountain North",4,1,2,2,4,1,1,5
"1917","Maryland","MD",18719.18,2266.45,4205,1372,"U",2,9,-2,"Mixed-Humid","South Atlantic",4,1,4,3,4,0,2,5
"1918","District of Columbia","DC",5467.23,618.9,3344,1709,"U",5,11,-2,"Mixed-Humid","South Atlantic",1,2,-2,5,2,-4,0,5
"1919","Idaho","ID",7601.28,795.7,7649,369,"R",2,15,-2,"Cold","Mountain North",9,1,-2,1,2,-4,3,5
"1920","Texas","TX",6058.42,737.85,2238,2484,"U",5,13,-2,"Hot-Humid","West South Central",8,2,2,4,0,-4,1,2
"1921","North Carolina","NC",10990.55,1334.97,2723,1689,"U",3,13,-2,"Mixed-Humid","South Atlantic",7,1,1,1,2,0,1,5
"1922","Wisconsin","WI",6169.02,922.51,7195,398,"R",2,6,1,"Cold","East North Central",2,1,3,3,2,0,2,5
"1923","Mississippi","MS",12569.72,1350.33,2304,2101,"C",2,1,-2,"Mixed-Humid","East South Central",5,2,-2,2,0,1,0,5
"1924","Mississippi","MS",9426.79,1157.26,1572,2447,"R",1,10,-2,"Hot-Humid","East South Central",5,2,4,4,3,0,0,0
"1925","Hawaii","HI",8513.28,2437.11,0,4423,"C",2,12,-2,"Hot-Humid","Pacific",5,3,1,-2,0,-4,0,5
"1926","Missouri","MO",4852.66,667.34,4342,1557,"U",2,9,-2,"Mixed-Humid","West North Central",1,1,1,1,3,0,1,0
"1927","Texas","TX",15626.85,1986.56,1036,3442,"U",2,12,-2,"Hot-Humid","West South Central",8,1,1,1,1,0,1,5
"1928","New York","NY",5576.99,943.55,4124,1414,"U",2,16,-2,"Mixed-Humid","Middle Atlantic",1,1,4,1,4,-4,2,5
"1929","West Virginia","WV",7059.38,824.58,5156,947,"U",2,16,-2,"Cold","South Atlantic",4,1,1,1,2,-4,1,2
"1930","Virginia","VA",23272.82,2521.42,4743,767,"R",1,15,-2,"Mixed-Humid","South Atlantic",6,1,2,2,2,-4,1,5
"1931","Texas","TX",14431.76,1547.43,1570,3055,"U",2,15,-2,"Hot-Humid","West South Central",6,1,1,1,4,1,3,5
"1932","Nevada","NV",9901.76,1063.26,4997,1165,"C",2,10,-2,"Cold","Mountain South",1,2,4,1,3,1,1,5
"1933","North Carolina","NC",10864.44,1218.88,2746,1655,"U",5,12,-2,"Mixed-Humid","South Atlantic",5,2,1,1,4,-4,1,3
"1934","Connecticut","CT",26950.49,5288.73,4989,1157,"U",2,14,-2,"Cold","New England",3,1,4,2,2,-4,1,5
"1935","Arizona","AZ",16082.24,2220.35,1194,4610,"U",2,13,-2,"Hot-Dry","Mountain South",9,1,3,3,4,-4,3,5
"1936","Mississippi","MS",13739.24,1292.16,1826,2374,"R",2,5,1,"Mixed-Humid","East South Central",5,1,2,2,2,1,0,5
"1937","Virginia","VA",30034.89,3508.25,4152,1223,"U",5,15,-2,"Mixed-Humid","South Atlantic",5,2,1,1,1,-4,1,1
"1938","Colorado","CO",13248.9,1464.54,5718,1120,"R",2,12,-2,"Cold","Mountain North",5,1,2,1,2,1,3,2
"1939","Arkansas","AR",10013.45,1012.27,2860,2031,"U",2,8,-2,"Mixed-Humid","West South Central",5,1,2,2,3,-4,1,5
"1940","Vermont","VT",6536.05,1509.71,7957,350,"C",2,13,-2,"Cold","New England",2,1,-2,1,1,0,1,5
"1941","Tennessee","TN",2694.55,399.19,4082,875,"R",1,7,-2,"Mixed-Humid","East South Central",4,1,4,2,4,-4,1,5
"1942","California","CA",2369.46,278.04,1097,893,"U",5,16,-2,"Hot-Dry","Pacific",1,2,1,2,0,0,1,5
"1943","California","CA",2921.33,765.17,1016,1191,"U",4,12,-2,"Hot-Dry","Pacific",5,2,5,-2,1,0,0,5
"1944","Texas","TX",7090.09,797.38,1105,3559,"R",5,9,-2,"Hot-Humid","West South Central",9,2,-2,1,4,1,3,5
"1945","Washington","WA",13308.82,799.66,5835,483,"U",5,11,-2,"Cold","Pacific",7,2,4,2,0,-4,1,5
"1946","California","CA",5257.68,1433.78,2229,886,"U",3,15,-2,"Hot-Dry","Pacific",6,1,4,4,0,-4,2,5
"1947","Alabama","AL",5403.7,727.93,1033,3145,"U",4,6,-2,"Hot-Humid","East South Central",7,2,1,1,1,0,1,5
"1948","Tennessee","TN",10961.22,1347.17,3537,1404,"R",2,7,-2,"Mixed-Humid","East South Central",7,1,2,1,0,0,1,5
"1949","North Dakota","ND",8090.63,918.49,8065,425,"C",2,7,-2,"Cold","West North Central",1,1,1,1,4,-4,2,5
"1950","Tennessee","TN",52532.91,4676.05,3377,1595,"R",2,16,-2,"Mixed-Humid","East South Central",8,1,3,3,3,-4,2,5
"1951","Illinois","IL",14858.55,1984.76,6233,876,"U",2,16,-2,"Cold","East North Central",7,1,3,3,1,-4,2,3
"1952","Ohio","OH",5445.92,763.28,4960,1155,"U",2,12,-2,"Cold","East North Central",3,1,1,2,2,0,1,5
"1953","West Virginia","WV",8552.65,930.27,5159,838,"R",1,12,-2,"Mixed-Humid","South Atlantic",7,1,1,1,4,0,2,2
"1954","South Carolina","SC",19196.87,2342.5,2244,1989,"U",2,12,-2,"Mixed-Humid","South Atlantic",8,1,1,1,1,-4,2,5
"1955","Arizona","AZ",23970.1,2813.39,1109,4821,"U",2,16,-2,"Hot-Dry","Mountain South",6,1,1,1,1,1,2,5
"1956","Maryland","MD",20970.87,2509.12,3206,1744,"C",2,16,-2,"Mixed-Humid","South Atlantic",5,1,3,3,2,1,3,5
"1957","New York","NY",14249.61,3027.2,4206,1340,"U",2,15,-2,"Mixed-Humid","Middle Atlantic",9,1,2,1,1,-4,1,2
"1958","Ohio","OH",11554.03,1342.53,5033,1078,"U",2,8,-2,"Cold","East North Central",6,1,3,3,2,1,3,5
"1959","California","CA",21598.32,4865.93,1383,2071,"U",2,16,-2,"Marine","Pacific",5,1,3,3,4,-4,2,5
"1960","Oregon","OR",25071.25,2824.65,4363,665,"R",2,9,-2,"Marine","Pacific",4,1,4,3,1,1,2,1
"1961","Kentucky","KY",18286.64,1772.63,3908,1259,"C",2,7,1,"Mixed-Humid","East South Central",1,1,2,2,2,-4,1,5
"1962","Florida","FL",16146.02,331.93,475,3996,"R",2,16,-2,"Hot-Humid","South Atlantic",9,1,1,1,1,1,2,5
"1963","New Mexico","NM",21061.47,2554.75,5117,1274,"U",2,3,1,"Cold","Mountain South",5,3,2,2,2,-4,1,5
"1964","New Mexico","NM",4424.67,1136.56,5129,881,"R",2,12,-2,"Cold","Mountain South",3,1,-2,5,4,1,0,5
"1965","Indiana","IN",7708.56,1240.43,5686,872,"R",2,16,-2,"Cold","East North Central",7,1,2,1,4,0,2,2
"1966","Florida","FL",15339.73,1701.9,433,4094,"U",3,11,-2,"Hot-Humid","South Atlantic",4,1,2,2,0,-4,1,5
"1967","Massachusetts","MA",4894.82,1111.8,5909,808,"U",5,2,-2,"Cold","New England",3,2,2,2,3,1,2,5
"1968","Kentucky","KY",3711.55,652.74,3302,1684,"R",1,8,-2,"Mixed-Humid","East South Central",4,1,2,2,2,1,1,5
"1969","Pennsylvania","PA",13725.41,1669.96,4867,1118,"U",4,13,0,"Cold","Middle Atlantic",1,2,4,4,2,1,0,2
"1970","Kentucky","KY",17771.63,1894.49,3938,1422,"U",2,15,-2,"Mixed-Humid","East South Central",6,1,1,1,2,0,3,5
"1971","Louisiana","LA",13938.46,1406.12,747,3630,"U",2,5,-2,"Hot-Humid","West South Central",2,1,1,4,2,1,0,5
"1972","Florida","FL",13424.79,1489.45,537,3806,"U",2,9,-2,"Hot-Humid","South Atlantic",5,1,2,2,0,-4,2,3
"1973","California","CA",3786.95,731.96,2597,741,"U",5,14,-2,"Marine","Pacific",7,2,4,4,4,-4,2,5
"1974","Massachusetts","MA",10928.09,2422.59,5695,855,"U",3,16,-2,"Cold","New England",1,1,4,3,4,0,2,5
"1975","Alaska","AK",5333.7,1453.42,14013,1,"U",4,9,-2,"Subarctic","Pacific",5,2,-2,2,4,1,1,5
"1976","New Mexico","NM",3852.8,532.86,3907,1531,"U",5,4,-2,"Mixed-Dry","Mountain South",5,2,2,2,1,-4,1,5
"1977","California","CA",4639.19,723.84,2097,2576,"U",2,8,1,"Hot-Dry","Pacific",6,1,1,2,0,-4,2,5
"1978","Texas","TX",5916.63,764.47,2295,2850,"U",2,14,-2,"Hot-Dry","West South Central",8,1,1,1,3,1,1,5
"1979","Arizona","AZ",3225.38,689.16,2096,2817,"R",2,9,-2,"Hot-Dry","Mountain South",6,2,1,-2,0,-4,1,0
"1980","Connecticut","CT",7906.71,738.58,4735,1098,"U",2,16,-2,"Cold","New England",7,1,3,3,2,-4,3,5
"1981","South Dakota","SD",4477.82,688.67,6599,757,"U",3,15,-2,"Cold","West North Central",5,2,2,2,0,-4,1,4
"1982","Washington","WA",5214.58,579.88,5005,76,"U",2,13,-2,"Marine","Pacific",9,1,3,3,1,-4,3,5
"1983","District of Columbia","DC",12488.98,1267.07,3345,1709,"U",5,8,0,"Mixed-Humid","South Atlantic",5,2,1,1,0,0,2,3
"1984","California","CA",4027.42,788.38,2143,359,"U",4,16,-2,"Marine","Pacific",1,2,-2,-2,3,1,-2,5
"1985","Washington","WA",10540.43,396.52,5465,885,"U",3,8,-2,"Cold","Pacific",6,2,1,2,3,0,2,4
"1986","Texas","TX",11316.91,1264.37,1104,3564,"U",2,13,-2,"Hot-Humid","West South Central",7,1,2,2,2,0,2,5
"1987","Arizona","AZ",5398,923.37,1326,4097,"U",5,10,-2,"Hot-Dry","Mountain South",4,2,4,2,1,0,0,0
"1988","Kentucky","KY",15827.44,1770.43,4521,1005,"C",2,14,-2,"Mixed-Humid","East South Central",7,1,1,1,4,1,2,5
"1989","Washington","WA",8703.28,1020.05,4617,163,"U",2,15,-2,"Marine","Pacific",2,2,5,1,1,1,2,5
"1990","Iowa","IA",6230.49,923.51,6705,710,"U",2,13,-2,"Cold","West North Central",5,1,3,3,2,1,2,2
"1991","California","CA",11532.27,1840.45,940,2067,"U",2,5,-2,"Hot-Dry","Pacific",2,1,1,1,1,0,3,5
"1992","Pennsylvania","PA",11685.67,1598.58,4768,1189,"U",3,12,-2,"Cold","Middle Atlantic",5,1,-2,4,1,-4,1,5
"1993","Wisconsin","WI",6535.7,957.76,6881,611,"C",2,14,-2,"Cold","East North Central",9,1,2,2,3,1,1,5
"1994","Texas","TX",12405.02,1543.46,969,3539,"U",5,14,-2,"Hot-Humid","West South Central",1,2,1,1,3,0,1,5
"1995","California","CA",4207.03,517.33,848,1526,"U",5,5,-2,"Hot-Dry","Pacific",7,2,-2,-2,4,-4,-2,5
"1996","California","CA",3649.38,714.38,2378,505,"U",3,12,-2,"Marine","Pacific",7,2,3,3,4,-4,2,5
"1997","Michigan","MI",8314.7,1313.26,6219,798,"R",2,13,-2,"Cold","East North Central",7,1,1,1,1,1,2,5
"1998","South Carolina","SC",17799.71,2517.7,3126,1331,"R",1,14,-2,"Mixed-Humid","South Atlantic",7,1,3,3,1,-4,3,3
"1999","New York","NY",9346.87,1926.68,4133,1418,"U",5,10,-2,"Mixed-Humid","Middle Atlantic",5,1,1,1,2,1,2,5
"2000","Colorado","CO",6477.47,1159.02,5764,825,"R",2,15,-2,"Cold","Mountain North",4,1,3,3,2,0,2,3
"2001","Washington","WA",18741.58,1932.84,4388,249,"U",2,15,-2,"Marine","Pacific",4,1,2,2,1,-4,2,5
"2002","New Hampshire","NH",4305.89,851.59,7116,605,"C",5,15,-2,"Cold","New England",7,2,4,3,0,-4,2,5
"2003","North Carolina","NC",15669.58,1756.18,2875,1586,"U",1,2,-2,"Mixed-Humid","South Atlantic",6,2,1,4,1,-4,1,5
"2004","Colorado","CO",4455.26,460.07,5482,1060,"U",4,12,-2,"Cold","Mountain North",9,2,1,1,2,-4,2,2
"2005","Massachusetts","MA",19942.33,4583.84,5423,833,"U",2,15,-2,"Cold","New England",5,1,-2,5,2,0,0,5
"2006","Nebraska","NE",43163.27,4519.94,7098,890,"C",2,16,-2,"Cold","West North Central",6,1,3,3,4,-4,2,0
"2007","Alaska","AK",3473.94,771.07,10608,1,"U",5,4,-2,"Very-Cold","Pacific",8,2,-2,1,4,-4,1,5
"2008","Hawaii","HI",7764.61,2302.69,0,5067,"U",5,15,-2,"Hot-Humid","Pacific",4,1,1,-2,2,0,1,5
"2009","Iowa","IA",10534.64,1188.5,5985,960,"U",2,12,-2,"Cold","West North Central",3,1,1,1,2,-4,2,5
"2010","Texas","TX",12399.55,1709.02,1735,2755,"C",2,10,-2,"Hot-Humid","West South Central",4,1,1,1,2,-4,2,5
"2011","Illinois","IL",2664.47,464.37,5540,1216,"U",5,11,-2,"Cold","East North Central",1,2,1,1,2,1,1,0
"2012","Arkansas","AR",11742.17,1493.96,3769,1458,"U",2,7,-2,"Mixed-Humid","West South Central",6,3,3,3,3,0,2,5
"2013","Massachusetts","MA",15827.11,1775.75,5299,916,"U",2,16,-2,"Cold","New England",5,1,1,1,3,0,2,5
"2014","South Carolina","SC",17994.04,2130.92,2840,1540,"R",2,16,-2,"Mixed-Humid","South Atlantic",7,1,1,1,0,-4,2,5
"2015","Wisconsin","WI",6696.13,1142.32,6999,663,"U",2,14,-2,"Cold","East North Central",1,1,3,3,1,1,2,2
"2016","Idaho","ID",6556.74,639.71,6493,318,"U",2,8,-2,"Cold","Mountain North",6,1,2,2,2,-4,1,5
"2017","Maryland","MD",9759.15,1280.99,3428,1670,"U",5,9,-2,"Mixed-Humid","South Atlantic",5,2,2,3,3,-4,2,2
"2018","Pennsylvania","PA",15197.64,2096.84,4740,1107,"U",2,16,-2,"Mixed-Humid","Middle Atlantic",3,1,1,1,0,-4,2,5
"2019","Ohio","OH",23073.61,2727.8,5065,1086,"R",2,16,-2,"Cold","East North Central",6,1,3,3,2,-4,3,5
"2020","Texas","TX",12664.57,1465.97,1157,3311,"C",4,6,-2,"Hot-Humid","West South Central",5,2,2,2,0,1,1,5
"2021","Wisconsin","WI",11469.96,1294.27,6931,843,"U",2,12,-2,"Cold","East North Central",4,1,1,1,4,-4,2,5
"2022","Massachusetts","MA",6384.78,1411.91,5321,625,"U",2,12,-2,"Cold","New England",5,1,5,3,2,-4,3,5
"2023","Texas","TX",32137.21,3309.44,1164,3267,"U",2,16,-2,"Hot-Humid","West South Central",7,1,3,3,1,1,3,5
"2024","Georgia","GA",11052.24,1543.77,2324,1873,"U",2,13,-2,"Mixed-Humid","South Atlantic",9,1,2,2,2,-4,1,5
"2025","Colorado","CO",8424.96,1036.9,6517,514,"U",2,13,-2,"Cold","Mountain North",6,1,1,1,2,-4,3,5
"2026","South Carolina","SC",19792.82,2066.6,2690,1671,"U",2,14,-2,"Mixed-Humid","South Atlantic",6,1,4,2,1,1,3,5
"2027","Mississippi","MS",14501.88,1421.38,1475,2595,"C",2,12,-2,"Hot-Humid","East South Central",3,3,1,2,2,-4,1,0
"2028","Louisiana","LA",13365.42,1252.92,1772,2534,"R",2,13,-2,"Hot-Humid","West South Central",6,1,1,1,1,0,2,5
"2029","Indiana","IN",6803.26,945.45,4945,1149,"U",2,14,-2,"Cold","East North Central",1,1,2,2,2,-4,2,5
"2030","Texas","TX",20594.07,1936.97,2001,2642,"U",2,12,-2,"Hot-Humid","West South Central",9,1,1,1,2,1,2,5
"2031","Massachusetts","MA",6383.43,1427.45,5734,907,"U",2,13,-2,"Cold","New England",2,1,4,1,1,1,2,2
"2032","Montana","MT",6141.09,754.53,6430,783,"R",2,14,-2,"Cold","Mountain North",9,1,2,1,2,0,2,5
"2033","Wisconsin","WI",5903.77,655.66,7879,467,"R",2,8,-2,"Cold","East North Central",6,1,-2,2,2,1,1,5
"2034","North Dakota","ND",17558.16,2087.53,7820,705,"R",1,5,-2,"Cold","West North Central",6,1,1,1,0,0,2,5
"2035","Illinois","IL",9815.24,1312.36,5685,1090,"U",2,12,-2,"Cold","East North Central",6,1,1,1,4,0,3,3
"2036","Colorado","CO",1358.51,133.43,5436,1024,"U",5,14,-2,"Cold","Mountain North",7,2,1,1,1,-4,2,5
"2037","Pennsylvania","PA",32680.41,3370.13,4928,1087,"R",2,1,-2,"Cold","Middle Atlantic",1,3,4,1,3,1,3,5
"2038","South Dakota","SD",2425.5,427.16,6650,743,"U",3,7,-2,"Cold","West North Central",8,2,-2,1,0,1,2,5
"2039","Vermont","VT",9350.9,123.63,6670,815,"U",2,15,-2,"Cold","New England",1,1,1,1,2,1,1,5
"2040","New Mexico","NM",5012.21,642.05,5725,694,"C",2,12,-2,"Cold","Mountain South",5,1,-2,2,1,0,1,5
"2041","New York","NY",3577.61,540,6524,571,"U",2,15,-2,"Cold","Middle Atlantic",1,1,2,2,2,0,2,5
"2042","Louisiana","LA",24045.94,2254.2,1773,2536,"U",2,13,-2,"Hot-Humid","West South Central",1,1,2,2,3,0,1,5
"2043","North Dakota","ND",13682.14,1265.6,9412,518,"U",3,16,-2,"Very-Cold","West North Central",7,2,1,1,2,0,1,5
"2044","Texas","TX",14026.12,1565.43,1174,3295,"U",2,10,-2,"Hot-Humid","West South Central",5,1,-2,1,0,-4,2,5
"2045","Massachusetts","MA",6830.1,1565.69,5287,893,"U",4,10,-2,"Cold","New England",1,2,-2,1,2,-4,2,2
"2046","Illinois","IL",9823.01,1387.42,5532,1196,"U",2,15,-2,"Cold","East North Central",5,1,3,3,3,1,3,5
"2047","Arkansas","AR",15142.16,1823.86,3123,1746,"U",2,15,-2,"Mixed-Humid","West South Central",5,1,2,2,1,-4,3,5
"2048","Wyoming","WY",15624.99,2259.17,6857,534,"U",2,12,-2,"Cold","Mountain North",7,1,4,1,2,1,2,5
"2049","California","CA",3472.13,679.68,2314,283,"U",2,16,-2,"Marine","Pacific",1,1,-2,4,1,1,2,5
"2050","Florida","FL",10025.64,1141.52,715,3634,"U",2,11,-2,"Hot-Humid","South Atlantic",5,1,1,1,2,-4,2,5
"2051","North Carolina","NC",13968.88,1377.66,3831,1139,"R",3,11,-2,"Mixed-Humid","South Atlantic",7,1,2,2,4,-4,1,3
"2052","Georgia","GA",9860.6,1296.65,1080,3062,"C",2,14,-2,"Hot-Humid","South Atlantic",6,1,2,2,0,1,1,1
"2053","California","CA",15358.63,3352.95,2686,1900,"U",2,15,-2,"Hot-Dry","Pacific",7,1,1,-2,1,1,2,5
"2054","New York","NY",11918.83,2593.54,4500,1121,"U",2,16,-2,"Mixed-Humid","Middle Atlantic",2,1,1,1,2,0,2,5
"2055","Michigan","MI",7611.45,1302.7,6087,749,"U",4,7,-2,"Cold","East North Central",2,2,-2,1,4,1,1,5
"2056","California","CA",6543.44,1135.62,1244,2136,"U",2,15,-2,"Hot-Dry","Pacific",3,2,2,2,2,1,2,5
"2057","Florida","FL",13505.95,1527.45,101,4877,"U",2,15,-2,"Hot-Humid","South Atlantic",1,1,2,-2,1,-4,1,5
"2058","Georgia","GA",11034.77,1056.41,2855,1448,"U",2,13,-2,"Mixed-Humid","South Atlantic",6,1,2,2,0,0,2,5
"2059","Colorado","CO",11232.96,1247.08,5457,1018,"U",2,16,-2,"Cold","Mountain North",6,1,3,3,4,1,2,5
"2060","Arizona","AZ",11492.37,1155.86,874,5362,"U",2,7,-2,"Hot-Dry","Mountain South",1,2,1,1,3,1,1,5
"2061","South Carolina","SC",7977.56,1217.4,1195,2659,"R",5,8,-2,"Hot-Humid","South Atlantic",8,2,1,1,1,-4,2,5
"2062","New Jersey","NJ",3637.56,666.23,4231,1359,"U",4,15,-2,"Mixed-Humid","Middle Atlantic",3,2,4,4,4,-4,2,5
"2063","Pennsylvania","PA",7603.64,1141.08,6244,534,"R",2,13,-2,"Cold","Middle Atlantic",5,1,4,2,0,-4,1,5
"2064","North Carolina","NC",15323.12,1475.62,3210,1451,"U",2,15,-2,"Mixed-Humid","South Atlantic",5,1,1,1,3,1,1,5
"2065","Maryland","MD",16914.77,2502.91,3482,1633,"U",2,15,-2,"Mixed-Humid","South Atlantic",7,1,1,1,1,1,1,5
"2066","Texas","TX",30340.24,3536.73,2638,2281,"U",2,16,-2,"Mixed-Humid","West South Central",7,1,2,2,2,-4,2,5
"2067","Georgia","GA",5118.53,728.66,1603,2525,"C",3,5,1,"Hot-Humid","South Atlantic",5,2,1,1,1,-4,2,5
"2068","West Virginia","WV",19005.87,1997.86,5016,774,"R",2,2,-2,"Cold","South Atlantic",5,1,1,1,3,1,2,5
